Age,MalePop,MaleDeaths,MaleRate_Per_100K,FemalePop,FemaleDeaths,FemaleRate_Per_100K,TotalPop,TotalDeaths,TotalRate
<13,26508833,475,1.8,25378314,368,1.5,51887147,845,1.6
13-15,6425429,286,4.5,6156770,159,2.6,12582199,448,3.6
16-19,8563213,1580,18.5,8221796,705,8.6,16785009,2290,13.6
20-24,11032846,3014,27.3,10561909,1128,10.7,21594755,4144,19.2
25-29,11875126,3019,25.4,11356117,1053,9.3,23231243,4077,17.5
30-34,11569253,2722,23.5,11269150,911,8.1,22838403,3636,15.9
35-39,10937588,2289,20.9,10890716,810,7.4,21828304,3107,14.2
40-44,10108280,2033,20.1,10199608,688,6.7,20307888,2729,13.4
45-49,9872904,1887,19.1,10097702,649,6.4,19970606,2541,12.7
50-54,10051788,1989,19.8,10343739,687,6.6,20395527,2681,13.1
55-59,10511928,2245,21.4,11091171,705,6.4,21603099,2955,13.7
60-64,9977506,1982,19.9,10823072,660,6.1,20800578,2650,12.7
65-69,8390351,1446,17.2,9483316,532,5.6,17873667,1979,11.1
70-74,6793189,1053,15.5,7882542,495,6.3,14675731,1554,10.6
75-79,4473684,787,17.6,5513149,436,7.9,9986833,1226,12.3
80-84,2749591,541,19.7,3715123,338,9.1,6464714,882,13.6
85+,2414693,571,23.6,4243727,334,7.9,6658420,908,13.6
Total,162256202,28033,17.3,167227921,10690,6.4,329484123,38824,11.8
